"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
900.00000,0.03000,1.00000,1.00000,1.00000,0.00000,0.18923,-224.82865,-245.70998,244.70998,4320.00000,2110.00000,0.40819
900.00000,0.03000,2.00000,1.00000,1.00000,0.00000,0.18923,-224.82865,-245.70998,244.70998,4320.00000,2110.00000,0.40819
900.00000,0.03000,3.00000,1.00000,1.00000,0.00000,0.18923,-224.82865,-245.70998,244.70998,4320.00000,2111.00000,0.40819
900.00000,0.03000,4.00000,1.00000,1.00000,0.00000,0.18923,-224.82865,-245.70998,244.70998,4320.00000,2112.00000,0.40819
900.00000,0.03000,5.00000,1.00000,1.00000,0.00000,0.18923,-224.82865,-245.70998,244.70998,4320.00000,2111.00000,0.40819
900.00000,0.03000,6.00000,1.00000,1.00000,0.00000,0.18923,-224.82865,-245.70998,244.70998,4320.00000,2111.00000,0.40819
