"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda","LB Heuristic"
900.00000,0.01000,1.00000,2.00000,0.00000,0.03798,0.05530,252.39884,253.44674,0.00413,4340.00000,4220.00000,0.86623,244.17348
900.00000,0.01000,2.00000,2.00000,0.00000,0.03822,0.05530,252.39884,253.50674,0.00437,4340.00000,4221.00000,1.25623,244.17348
900.00000,0.01000,3.00000,2.00000,0.00000,0.03144,0.05530,252.39884,251.85139,-0.00217,4340.00000,4232.00000,0.79123,244.17348
900.00000,0.01000,4.00000,2.00000,0.00000,0.03082,0.05530,252.39884,251.69784,-0.00279,4340.00000,4219.00000,0.80208,244.17348
900.00000,0.01000,5.00000,2.00000,0.00000,0.03822,0.05530,252.39884,253.50674,0.00437,4340.00000,2695.00000,3.47289,244.17348
900.00000,0.01000,6.00000,4.00000,0.00000,0.03822,0.05530,252.39884,253.50674,0.00437,4340.00000,4350.00000,2.99350,244.17348
