"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda","LB Heuristic"
600.00000,0.05000,1.00000,2.00000,0.00000,0.05485,0.14672,242.41201,261.31244,0.05199,4299.00000,2429.00000,8.84143,247.72581
600.00000,0.05000,2.00000,3.00000,0.00000,0.05485,0.14672,242.41201,261.31244,0.05199,4299.00000,2617.00000,0.32532,247.72581
600.00000,0.05000,3.00000,3.00000,0.00000,0.05485,0.14672,242.41201,261.31244,0.05199,4299.00000,3485.00000,3.64393,247.72581
600.00000,0.05000,4.00000,3.00000,0.00000,0.05485,0.14672,242.41201,261.31244,0.05199,4299.00000,3779.00000,2.33296,247.72581
600.00000,0.05000,5.00000,4.00000,0.00000,0.06114,0.14672,242.41201,262.87149,0.05762,4299.00000,2511.00000,0.06783,247.72581
600.00000,0.05000,6.00000,3.00000,0.00000,0.06114,0.14672,242.41201,262.87149,0.05762,4299.00000,4329.00000,0.00000,247.72581
