"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda","LB Heuristic"
600.00000,0.03000,1.00000,2.00000,0.00000,0.04460,0.08583,236.21210,253.01571,0.04270,4290.00000,4224.00000,0.51920,242.21200
600.00000,0.03000,2.00000,2.00000,0.00000,0.04460,0.08583,236.21210,253.01571,0.04270,4290.00000,4216.00000,0.73382,242.21200
600.00000,0.03000,3.00000,2.00000,0.00000,0.04357,0.08583,236.21210,252.76520,0.04175,4290.00000,4217.00000,0.61670,242.21200
600.00000,0.03000,4.00000,2.00000,0.00000,0.04818,0.08583,236.21210,253.88186,0.04597,4290.00000,4213.00000,0.51567,242.21200
600.00000,0.03000,5.00000,4.00000,0.00000,0.04818,0.08583,236.21210,253.88186,0.04597,4290.00000,2517.00000,0.01117,242.21200
600.00000,0.03000,6.00000,3.00000,0.00000,0.07147,0.08583,236.21210,259.52286,0.06670,4290.00000,4104.00000,0.00000,242.21200
