"Omega","Tolerance","Step Size Rule","Gap LR","Iterations","Converged?","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR"
150.00000,0.05000,1.00000,0.04666,30.00000,0.00000,-280.90392,-293.35600,0.04666,22.00000,56.00000
150.00000,0.05000,2.00000,0.01559,30.00000,0.00000,-280.90392,-284.64740,0.01559,22.00000,401.00000
150.00000,0.05000,3.00000,0.06000,30.00000,0.00000,-280.90392,-297.09364,0.06000,22.00000,48.00000
150.00000,0.05000,4.00000,0.06000,30.00000,0.00000,-280.90392,-297.09364,0.06000,22.00000,42.00000
150.00000,0.05000,5.00000,0.04586,30.00000,0.00000,-280.90392,-293.13199,0.04586,22.00000,363.00000
150.00000,0.05000,6.00000,0.01613,26.00000,1.00000,-280.90392,-284.79830,0.01613,22.00000,218.00000
