"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda","LB Heuristic"
600.00000,0.03000,1.00000,2.00000,0.00000,0.06906,0.07872,248.87725,256.11611,0.02826,4248.00000,4210.00000,0.62238,239.57094
600.00000,0.03000,2.00000,2.00000,0.00000,0.07178,0.07872,248.87725,256.76769,0.03073,4248.00000,3491.00000,1.98915,239.57094
600.00000,0.03000,3.00000,2.00000,0.00000,0.06438,0.07872,248.87725,254.99470,0.02399,4248.00000,4207.00000,0.59688,239.57094
600.00000,0.03000,4.00000,2.00000,0.00000,0.07176,0.07872,248.87725,256.76269,0.03071,4248.00000,4207.00000,0.58592,239.57094
600.00000,0.03000,5.00000,3.00000,0.00000,0.07178,0.07872,248.87725,256.76769,0.03073,4248.00000,2536.00000,6.29960,239.57094
600.00000,0.03000,6.00000,4.00000,0.00000,0.07178,0.07872,248.87725,256.76769,0.03073,4248.00000,4369.00000,0.00000,239.57094
