"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
600.00000,0.01000,1.00000,3.00000,0.00000,0.03179,0.00000,-252.74117,-253.29009,0.00217,1116.00000,3515.00000,1.11096
600.00000,0.01000,2.00000,2.00000,0.00000,0.03228,0.00000,-252.74117,-253.41009,0.00264,1116.00000,3413.00000,0.70096
600.00000,0.01000,3.00000,2.00000,0.00000,0.03215,0.00000,-252.74117,-253.38009,0.00252,1116.00000,2482.00000,1.17396
600.00000,0.01000,4.00000,3.00000,0.00000,0.03214,0.00000,-252.74117,-253.37595,0.00251,1116.00000,3240.00000,1.17812
600.00000,0.01000,5.00000,10.00000,0.00000,0.03228,0.00000,-252.74117,-253.41009,0.00264,1116.00000,1385.00000,0.01948
600.00000,0.01000,6.00000,3.00000,0.00000,0.03022,0.00000,-252.74117,-252.90450,0.00065,1116.00000,2464.00000,0.00000
