"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
900.00000,0.01000,1.00000,2.00000,0.00000,0.00390,0.10285,-239.02627,-245.36738,-0.00391,2949.00000,4444.00000,0.58546
900.00000,0.01000,2.00000,2.00000,0.00000,0.00557,0.10285,-239.02627,-244.95544,-0.00560,2949.00000,4424.00000,0.49213
900.00000,0.01000,3.00000,2.00000,0.00000,0.00194,0.10285,-239.02627,-245.84794,-0.00195,2949.00000,4453.00000,0.70396
900.00000,0.01000,4.00000,2.00000,0.00000,0.00052,0.10285,-239.02627,-246.45544,0.00052,2949.00000,4423.00000,0.76986
900.00000,0.01000,5.00000,2.00000,0.00000,0.02303,0.10285,-239.02627,-251.99926,0.02251,2949.00000,2418.00000,0.00337
900.00000,0.01000,6.00000,2.00000,0.00000,0.02303,0.10285,-239.02627,-251.99926,0.02251,2949.00000,2367.00000,0.56509
