"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda","LB Heuristic"
100.00000,0.07000,1.00000,10.00000,0.00000,0.05313,0.00042,280.91436,296.67606,0.05313,635.00000,841.00000,3.28114,280.91436
100.00000,0.07000,2.00000,10.00000,0.00000,0.04278,0.00042,280.91436,293.46848,0.04278,635.00000,904.00000,2.76202,280.91436
100.00000,0.07000,3.00000,10.00000,0.00000,0.05152,0.00042,280.91436,296.17434,0.05152,635.00000,804.00000,3.29832,280.91436
100.00000,0.07000,4.00000,10.00000,0.00000,0.04819,0.00042,280.91436,295.13839,0.04819,635.00000,1054.00000,3.15541,280.91436
100.00000,0.07000,5.00000,10.00000,0.00000,0.04278,0.00042,280.91436,293.46848,0.04278,635.00000,383.00000,2.71289,280.91436
100.00000,0.07000,6.00000,10.00000,0.00000,0.04580,0.00042,280.91436,294.39821,0.04580,635.00000,172.00000,2.69956,280.91436
