"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
100.00000,0.05000,1.00000,10.00000,0.00000,0.02905,0.00000,-279.60035,-287.72262,0.02905,64.00000,331.00000,3.74271
100.00000,0.05000,2.00000,10.00000,0.00000,0.01979,0.00000,-279.60035,-285.13394,0.01979,64.00000,398.00000,2.42481
100.00000,0.05000,3.00000,10.00000,0.00000,0.02493,0.00000,-279.60035,-286.56976,0.02493,64.00000,244.00000,3.39650
100.00000,0.05000,4.00000,10.00000,0.00000,0.02277,0.00000,-279.60035,-285.96591,0.02277,64.00000,219.00000,3.19739
100.00000,0.05000,5.00000,10.00000,0.00000,0.01968,0.00000,-279.60035,-285.10236,0.01968,64.00000,106.00000,2.55506
100.00000,0.05000,6.00000,10.00000,0.00000,0.02029,0.00000,-279.60035,-285.27284,0.02029,64.00000,46.00000,2.61658
