"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
600.00000,0.05000,1.00000,3.00000,0.00000,0.04727,0.12974,-247.73246,-261.37000,260.41513,4278.00000,2525.00000,8.20192
600.00000,0.05000,2.00000,3.00000,0.00000,0.04727,0.12974,-247.73246,-261.37000,260.41513,4278.00000,2711.00000,0.38696
600.00000,0.05000,3.00000,3.00000,0.00000,0.04727,0.12974,-247.73246,-261.37000,260.41513,4278.00000,3227.00000,3.54442
600.00000,0.05000,4.00000,3.00000,0.00000,0.04727,0.12974,-247.73246,-261.37000,260.41513,4278.00000,3347.00000,2.26057
600.00000,0.05000,5.00000,3.00000,0.00000,0.04727,0.12974,-247.73246,-261.37000,260.41513,4278.00000,2442.00000,0.19482
600.00000,0.05000,6.00000,3.00000,0.00000,0.04727,0.12974,-247.73246,-261.37000,260.41513,4278.00000,4326.00000,0.07171
