"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
100.00000,0.01000,1.00000,10.00000,0.00000,0.00838,0.00000,-276.42693,-276.89661,0.00170,1.00000,7.00000,49.29285
100.00000,0.01000,2.00000,10.00000,0.00000,0.00838,0.00000,-276.42693,-276.89661,0.00170,1.00000,7.00000,2.32316
100.00000,0.01000,3.00000,10.00000,0.00000,0.01033,0.00000,-276.42693,-277.43212,0.00364,1.00000,13.00000,3.28292
100.00000,0.01000,4.00000,10.00000,0.00000,0.00878,0.00000,-276.42693,-277.00438,0.00209,1.00000,11.00000,22.19477
100.00000,0.01000,5.00000,10.00000,0.00000,0.00838,0.00000,-276.42693,-276.89661,0.00170,1.00000,6.00000,2.47059
100.00000,0.01000,6.00000,10.00000,0.00000,0.00808,0.00000,-276.42693,-276.81259,0.00140,1.00000,8.00000,2.39693
