"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda","LB Heuristic"
600.00000,0.01000,1.00000,2.00000,0.00000,0.01843,0.00000,250.28417,250.25433,-0.00012,3642.00000,4218.00000,1.14631,245.72631
600.00000,0.01000,2.00000,2.00000,1.00000,0.00000,0.00000,250.28417,245.72631,-0.01855,3642.00000,4217.00000,0.44131,245.72631
600.00000,0.01000,3.00000,2.00000,0.00000,0.01993,0.00000,250.28417,250.62438,0.00136,3642.00000,4217.00000,1.15831,245.72631
600.00000,0.01000,4.00000,2.00000,0.00000,0.01993,0.00000,250.28417,250.62438,0.00136,3642.00000,4145.00000,1.17070,245.72631
600.00000,0.01000,5.00000,5.00000,0.00000,0.02148,0.00000,250.28417,251.00465,0.00287,3642.00000,2416.00000,0.01296,245.72631
600.00000,0.01000,6.00000,3.00000,0.00000,0.02148,0.00000,250.28417,251.00465,0.00287,3642.00000,3743.00000,3.52049,245.72631
