"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
450.00000,0.07000,1.00000,10.00000,0.00000,0.09436,0.00497,-285.43103,-307.08543,0.07587,2102.00000,188.00000,70.62472
450.00000,0.07000,2.00000,10.00000,0.00000,0.07832,0.00497,-285.43103,-302.58543,0.06010,2102.00000,1909.00000,0.63665
450.00000,0.07000,3.00000,10.00000,0.00000,0.09436,0.00497,-285.43103,-307.08543,0.07587,2102.00000,230.00000,81.81662
450.00000,0.07000,4.00000,10.00000,0.00000,0.09436,0.00497,-285.43103,-307.08543,0.07587,2102.00000,190.00000,147.79925
450.00000,0.07000,5.00000,10.00000,0.00000,0.08428,0.00497,-285.43103,-304.25646,0.06595,2102.00000,1787.00000,0.63171
450.00000,0.07000,6.00000,10.00000,0.00000,0.06130,0.00497,-285.43103,-297.80795,0.04336,2102.00000,928.00000,0.57273
