"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
600.00000,0.03000,1.00000,2.00000,0.00000,0.02909,0.12344,-242.07919,-256.89484,0.02827,2858.00000,2474.00000,9.08190
600.00000,0.03000,2.00000,2.00000,0.00000,0.02454,0.12344,-242.07919,-255.75922,0.02396,2858.00000,4326.00000,0.35190
600.00000,0.03000,3.00000,2.00000,0.00000,0.02504,0.12344,-242.07919,-255.88234,0.02443,2858.00000,4327.00000,0.41940
600.00000,0.03000,4.00000,2.00000,0.00000,0.02719,0.12344,-242.07919,-256.41922,0.02647,2858.00000,4291.00000,0.48948
600.00000,0.03000,5.00000,3.00000,0.00000,0.03257,0.12344,-242.07919,-257.76360,0.03155,2858.00000,2345.00000,0.12395
600.00000,0.03000,6.00000,3.00000,0.00000,0.03257,0.12344,-242.07919,-257.76360,0.03155,2858.00000,4339.00000,0.00000
