209      0.001
420 4      0.001       0.004 Assignment minsolar (0)
377 3      0.001       0.004 Assignment Solar (1350)
548 10      0.181       0.007 GAMS Fini   
548 7      0.500       0.007 Solve Fini schedule (21325)
509 6      0.001       0.007 Equation   Const_chance_2 (1)
502 8      0.004       0.007 Equation   Const_chance_1 (2400)
496 9      0.009       0.006 Equation   Const1 (2300)
417 5      0.003       0.004 Loop       
429 2      0.002       0.004 Assignment BigM (2400)
494 1      0.010       0.004 Equation   Objective (1)
