"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
600.00000,0.05000,1.00000,1.00000,0.00000,0.04219,0.11996,-251.51415,-265.25307,0.05462,2852.00000,2846.00000,0.14993
600.00000,0.05000,2.00000,1.00000,0.00000,0.04219,0.11996,-251.51415,-265.25307,0.05462,2852.00000,2851.00000,0.37493
600.00000,0.05000,3.00000,1.00000,0.00000,0.04219,0.11996,-251.51415,-265.25307,0.05462,2852.00000,2850.00000,0.29993
600.00000,0.05000,4.00000,1.00000,0.00000,0.04219,0.11996,-251.51415,-265.25307,0.05462,2852.00000,2851.00000,0.34993
600.00000,0.05000,5.00000,1.00000,0.00000,0.04219,0.11996,-251.51415,-265.25307,0.05462,2852.00000,2852.00000,0.14993
600.00000,0.05000,6.00000,1.00000,0.00000,0.04676,0.11996,-251.51415,-266.41778,0.05926,2852.00000,2840.00000,0.00000
