585      0.003
1560 10      0.196       0.021 GAMS Fini   
1377 1      0.003       0.004 Assignment Solar (8051)
1375 5      0.003       0.004 Assignment Solar (8054)
1417 8      0.041       0.004 Loop       
1502 9      0.065       0.021 Equation   Const_chance_1 (14400)
1418 4      0.003       0.004 Loop       
1418 7      0.003       0.004 Loop       
1494 6      0.057       0.009 Equation   Objective (1)
1496 3      0.055       0.017 Equation   Const1 (13800)
1560 2      0.912       0.021 Solve Fini schedule (127825)
