"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
900.00000,0.03000,1.00000,2.00000,0.00000,0.02257,0.13268,-239.50371,-249.45713,0.02207,2931.00000,2630.00000,13.09500
900.00000,0.03000,2.00000,1.00000,0.00000,0.02257,0.13268,-239.50371,-249.45713,0.02207,2931.00000,2256.00000,0.31309
900.00000,0.03000,3.00000,2.00000,0.00000,0.02257,0.13268,-239.50371,-249.45713,0.02207,2931.00000,3040.00000,5.40414
900.00000,0.03000,4.00000,1.00000,0.00000,0.02257,0.13268,-239.50371,-249.45713,0.02207,2931.00000,2253.00000,0.23364
900.00000,0.03000,5.00000,1.00000,0.00000,0.02257,0.13268,-239.50371,-249.45713,0.02207,2931.00000,2254.00000,0.14642
900.00000,0.03000,6.00000,2.00000,0.00000,0.02257,0.13268,-239.50371,-249.45713,0.02207,2931.00000,2409.00000,0.62353
