"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
600.00000,0.03000,1.00000,2.00000,0.00000,0.05828,0.12708,-241.49672,-257.17822,256.23329,4299.00000,4221.00000,0.39137
600.00000,0.03000,2.00000,3.00000,0.00000,0.06780,0.12708,-241.49672,-259.49133,258.55483,4299.00000,2525.00000,0.09152
600.00000,0.03000,3.00000,2.00000,0.00000,0.05921,0.12708,-241.49672,-257.40322,256.45912,4299.00000,4214.00000,0.50387
600.00000,0.03000,4.00000,2.00000,0.00000,0.06780,0.12708,-241.49672,-259.49133,258.55483,4299.00000,4216.00000,0.56076
600.00000,0.03000,5.00000,3.00000,0.00000,0.06780,0.12708,-241.49672,-259.49133,258.55483,4299.00000,2410.00000,0.00859
600.00000,0.03000,6.00000,3.00000,0.00000,0.06780,0.12708,-241.49672,-259.49133,258.55483,4299.00000,4336.00000,0.00000
