"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
600.00000,0.07000,1.00000,1.00000,0.00000,0.14539,0.16707,-242.54153,-284.03623,0.17108,2848.00000,2856.00000,8.82928
600.00000,0.07000,2.00000,1.00000,0.00000,0.14539,0.16707,-242.54153,-284.03623,0.17108,2848.00000,2857.00000,0.46197
600.00000,0.07000,3.00000,1.00000,0.00000,0.14539,0.16707,-242.54153,-284.03623,0.17108,2848.00000,2854.00000,4.64428
600.00000,0.07000,4.00000,1.00000,0.00000,0.14539,0.16707,-242.54153,-284.03623,0.17108,2848.00000,2863.00000,3.24928
600.00000,0.07000,5.00000,1.00000,0.00000,0.14539,0.16707,-242.54153,-284.03623,0.17108,2848.00000,2867.00000,0.47003
600.00000,0.07000,6.00000,1.00000,0.00000,0.14539,0.16707,-242.54153,-284.03623,0.17108,2848.00000,2826.00000,0.58851
