"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
300.00000,0.03000,1.00000,10.00000,0.00000,0.02244,0.00000,-281.43417,-285.33111,0.01385,68.00000,79.00000,109.50000
300.00000,0.03000,2.00000,10.00000,0.00000,0.02244,0.00000,-281.43417,-285.33111,0.01385,68.00000,149.00000,0.89153
300.00000,0.03000,3.00000,10.00000,0.00000,0.02244,0.00000,-281.43417,-285.33111,0.01385,68.00000,85.00000,43.16055
300.00000,0.03000,4.00000,10.00000,0.00000,0.02244,0.00000,-281.43417,-285.33111,0.01385,68.00000,79.00000,87.97153
300.00000,0.03000,5.00000,10.00000,0.00000,0.02244,0.00000,-281.43417,-285.33111,0.01385,68.00000,80.00000,0.82019
300.00000,0.03000,6.00000,10.00000,0.00000,0.02244,0.00000,-281.43417,-285.33111,0.01385,68.00000,114.00000,0.86564
