"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda","LB Heuristic"
600.00000,0.01000,1.00000,2.00000,0.00000,0.01929,0.00000,252.41659,253.95875,0.00607,2442.00000,4207.00000,0.91324,249.15229
600.00000,0.01000,2.00000,2.00000,0.00000,0.01505,0.00000,252.41659,252.90264,0.00192,2442.00000,3611.00000,0.01324,249.15229
600.00000,0.01000,3.00000,2.00000,0.00000,0.02004,0.00000,252.41659,254.14625,0.00681,2442.00000,3831.00000,0.99574,249.15229
600.00000,0.01000,4.00000,2.00000,0.00000,0.02029,0.00000,252.41659,254.20875,0.00705,2442.00000,3607.00000,1.02056,249.15229
600.00000,0.01000,5.00000,10.00000,0.00000,0.02080,0.00000,252.41659,254.33375,0.00754,2442.00000,2181.00000,0.01948,249.15229
600.00000,0.01000,6.00000,3.00000,0.00000,0.01648,0.00000,252.41659,253.25718,0.00332,2442.00000,2796.00000,4.94075,249.15229
