"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
900.00000,0.05000,1.00000,1.00000,1.00000,0.00000,0.15254,-240.86088,-247.97280,246.97280,4322.00000,2111.00000,0.30080
900.00000,0.05000,2.00000,1.00000,1.00000,0.00000,0.15254,-240.86088,-247.97280,246.97280,4322.00000,2110.00000,0.30080
900.00000,0.05000,3.00000,1.00000,1.00000,0.00000,0.15254,-240.86088,-247.97280,246.97280,4322.00000,2111.00000,0.30080
900.00000,0.05000,4.00000,1.00000,1.00000,0.00000,0.15254,-240.86088,-247.97280,246.97280,4322.00000,2110.00000,0.30080
900.00000,0.05000,5.00000,1.00000,1.00000,0.00000,0.15254,-240.86088,-247.97280,246.97280,4322.00000,2111.00000,0.30080
900.00000,0.05000,6.00000,1.00000,1.00000,0.00000,0.15254,-240.86088,-247.97280,246.97280,4322.00000,2110.00000,0.30080
