"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda","LB Heuristic"
600.00000,0.03000,1.00000,2.00000,1.00000,0.04393,0.08239,253.42362,257.22872,0.01479,4245.00000,4208.00000,0.53629,246.40474
600.00000,0.03000,2.00000,4.00000,0.00000,0.04393,0.08239,253.42362,257.22872,0.01479,4245.00000,2529.00000,0.00773,246.40474
600.00000,0.03000,3.00000,2.00000,1.00000,0.04393,0.08239,253.42362,257.22872,0.01479,4245.00000,4211.00000,0.55129,246.40474
600.00000,0.03000,4.00000,2.00000,0.00000,0.04393,0.08239,253.42362,257.22872,0.01479,4245.00000,4213.00000,0.52800,246.40474
600.00000,0.03000,5.00000,3.00000,0.00000,0.04393,0.08239,253.42362,257.22872,0.01479,4245.00000,2475.00000,0.00859,246.40474
600.00000,0.03000,6.00000,3.00000,0.00000,0.04975,0.08239,253.42362,258.66217,0.02025,4245.00000,4306.00000,0.00000,246.40474
