,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,0,0,0,0,0,0,0.551094952,30.11444979,120.0802766,691.2699841,1098.972816,1575.460473,1269.848778,1585.519233,1488.730619,854.7124537,517.854387,507.8219521,171.6526651,105.2071492,0,0,0,0
scen2,0,0,0,0,0,0,0.097860969,23.5073769,94.2420952,454.4988511,1154.898024,1484.574968,1123.851597,1513.510971,1316.445543,919.8519727,722.7345571,450.7630046,202.7891557,116.6960586,0,0,0,0
scen3,0,0,0,0,0,0,0.298296163,23.18278306,135.1633283,582.9255727,1181.267612,1323.596583,1212.740221,1512.615734,1133.939686,856.3432944,744.3713199,507.907887,202.7684645,112.2493956,0,0,0,0
scen4,0,0,0,0,0,0,0,20.81753848,118.0089214,530.811847,1112.814636,1174.247324,1111.523819,1407.20659,1024.642303,913.6649287,777.5626318,499.8203763,202.4377508,112.8866851,0,0,0,0
scen5,0,0,0,0,0,0,0,18.30303642,149.1069089,599.6877681,1014.529649,990.9065276,1087.289028,1353.833987,1131.841902,897.4016954,786.454615,499.3534242,189.6167166,119.6906732,0,0,0,0
