"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda","LB Heuristic"
600.00000,0.07000,1.00000,3.00000,0.00000,0.05589,0.14636,248.38715,267.22223,0.05293,4246.00000,2515.00000,7.75500,253.07704
600.00000,0.07000,2.00000,3.00000,0.00000,0.05589,0.14636,248.38715,267.22223,0.05293,4246.00000,2471.00000,0.42055,253.07704
600.00000,0.07000,3.00000,3.00000,0.00000,0.05589,0.14636,248.38715,267.22223,0.05293,4246.00000,2808.00000,3.34730,253.07704
600.00000,0.07000,4.00000,3.00000,0.00000,0.05589,0.14636,248.38715,267.22223,0.05293,4246.00000,3681.00000,2.14377,253.07704
600.00000,0.07000,5.00000,3.00000,0.00000,0.05589,0.14636,248.38715,267.22223,0.05293,4246.00000,2405.00000,0.29179,253.07704
600.00000,0.07000,6.00000,3.00000,0.00000,0.05589,0.14636,248.38715,267.22223,0.05293,4246.00000,4301.00000,0.16407,253.07704
