"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
600.00000,0.07000,1.00000,10.00000,0.00000,0.10840,0.09801,-276.76645,-305.93214,0.09533,2416.00000,2082.00000,3.16835
600.00000,0.07000,2.00000,3.00000,2.00000,0.00000,0.09801,-276.76645,-276.01127,0.00273,2416.00000,2402.00000,0.47372
600.00000,0.07000,3.00000,10.00000,0.00000,0.10840,0.09801,-276.76645,-305.93214,0.09533,2416.00000,2296.00000,3.27138
600.00000,0.07000,4.00000,10.00000,2.00000,0.00000,0.09801,-276.76645,-276.01127,0.00273,2416.00000,2402.00000,2.48034
600.00000,0.07000,5.00000,3.00000,0.00000,0.06656,0.09801,-276.76645,-294.38204,0.05984,2416.00000,2401.00000,0.43319
600.00000,0.07000,6.00000,6.00000,0.00000,0.07186,0.09801,-276.76645,-295.84425,0.06449,2416.00000,2402.00000,0.01343
