"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
600.00000,0.05000,1.00000,1.00000,0.00000,0.05751,0.19566,-226.88191,-260.35876,0.14755,2844.00000,2845.00000,0.17620
600.00000,0.05000,2.00000,1.00000,0.00000,0.05751,0.19566,-226.88191,-260.35876,0.14755,2844.00000,2848.00000,0.38225
600.00000,0.05000,3.00000,1.00000,0.00000,0.05751,0.19566,-226.88191,-260.35876,0.14755,2844.00000,2849.00000,0.31870
600.00000,0.05000,4.00000,1.00000,0.00000,0.05751,0.19566,-226.88191,-260.35876,0.14755,2844.00000,2850.00000,0.36620
600.00000,0.05000,5.00000,1.00000,0.00000,0.05751,0.19566,-226.88191,-260.35876,0.14755,2844.00000,2852.00000,0.14541
600.00000,0.05000,6.00000,1.00000,0.00000,0.05751,0.19566,-226.88191,-260.35876,0.14755,2844.00000,2846.00000,0.00000
