"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
900.00000,0.03000,1.00000,1.00000,0.00000,0.03969,0.18383,-226.10668,-236.44182,0.04571,2908.00000,2918.00000,0.00000
900.00000,0.03000,2.00000,1.00000,0.00000,0.03969,0.18383,-226.10668,-236.44182,0.04571,2908.00000,2922.00000,0.32723
900.00000,0.03000,3.00000,1.00000,0.00000,0.03969,0.18383,-226.10668,-236.44182,0.04571,2908.00000,2921.00000,0.18028
900.00000,0.03000,4.00000,1.00000,0.00000,0.03969,0.18383,-226.10668,-236.44182,0.04571,2908.00000,2913.00000,0.24778
900.00000,0.03000,5.00000,1.00000,0.00000,0.03969,0.18383,-226.10668,-236.44182,0.04571,2908.00000,2914.00000,0.16056
900.00000,0.03000,6.00000,1.00000,0.00000,0.01668,0.18383,-226.10668,-250.32341,0.10710,2908.00000,2815.00000,0.06678
