"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
600.00000,0.05000,1.00000,10.00000,0.00000,0.08778,0.01793,-281.24276,-299.76564,0.06586,2102.00000,179.00000,150.45986
600.00000,0.05000,2.00000,10.00000,0.00000,0.07145,0.01793,-281.24276,-295.26564,0.04986,2102.00000,1645.00000,0.46864
600.00000,0.05000,3.00000,10.00000,0.00000,0.08778,0.01793,-281.24276,-299.76564,0.06586,2102.00000,187.00000,120.16170
600.00000,0.05000,4.00000,10.00000,0.00000,0.08778,0.01793,-281.24276,-299.76564,0.06586,2102.00000,178.00000,225.14490
600.00000,0.05000,5.00000,10.00000,0.00000,0.07751,0.01793,-281.24276,-296.93667,0.05580,2102.00000,1559.00000,0.46500
600.00000,0.05000,6.00000,10.00000,0.00000,0.05287,0.01793,-281.24276,-290.14579,0.03166,2102.00000,778.00000,0.39723
