"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
600.00000,0.03000,1.00000,2.00000,0.00000,0.03691,0.17287,-226.97521,-255.01871,254.05430,4281.00000,4217.00000,0.38395
600.00000,0.03000,2.00000,3.00000,0.00000,0.03990,0.17287,-226.97521,-255.75371,254.79207,4281.00000,2540.00000,0.38482
600.00000,0.03000,3.00000,2.00000,0.00000,0.03392,0.17287,-226.97521,-254.28390,253.31671,4281.00000,4214.00000,0.47545
600.00000,0.03000,4.00000,2.00000,0.00000,0.03990,0.17287,-226.97521,-255.75371,254.79207,4281.00000,4213.00000,0.53067
600.00000,0.03000,5.00000,4.00000,0.00000,0.03990,0.17287,-226.97521,-255.75371,254.79207,4281.00000,2437.00000,0.01117
600.00000,0.03000,6.00000,3.00000,0.00000,0.03990,0.17287,-226.97521,-255.75371,254.79207,4281.00000,4286.00000,0.00000
