"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
900.00000,0.01000,1.00000,1.00000,0.00000,0.02275,0.07820,-245.72102,-247.90366,0.00888,2904.00000,2906.00000,0.82962
900.00000,0.01000,2.00000,1.00000,0.00000,0.02275,0.07820,-245.72102,-247.90366,0.00888,2904.00000,2908.00000,0.10962
900.00000,0.01000,3.00000,1.00000,0.00000,0.02275,0.07820,-245.72102,-247.90366,0.00888,2904.00000,2904.00000,0.84462
900.00000,0.01000,4.00000,1.00000,0.00000,0.02275,0.07820,-245.72102,-247.90366,0.00888,2904.00000,2909.00000,0.84962
900.00000,0.01000,5.00000,1.00000,0.00000,0.02275,0.07820,-245.72102,-247.90366,0.00888,2904.00000,2903.00000,0.00000
900.00000,0.01000,6.00000,1.00000,0.00000,0.02275,0.07820,-245.72102,-247.90366,0.00888,2904.00000,2887.00000,0.00000
