4673      0.015
2018 5      0.020       0.004 Loop       
2018 9      0.019       0.004 Loop       
2018 7      0.018       0.004 Loop       
2018 6      0.019       0.004 Loop       
2017 10      0.301       0.004 Loop       
2148 1      0.042       0.030 GAMS Fini   
2094 2      0.055       0.012 Equation   Objective (1)
2102 4      0.018       0.030 Equation   Const_chance_1 (21600)
2148 3      0.088       0.030 Solve Fini schedule (191725)
2096 8      0.025       0.023 Equation   Const1 (20700)
