"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
100.00000,0.05000,1.00000,10.00000,0.00000,0.01208,0.00000,-282.27202,-285.44253,0.01123,116.00000,379.00000,3.72393
100.00000,0.05000,2.00000,10.00000,0.00000,0.00957,0.00000,-282.27202,-284.73474,0.00872,116.00000,416.00000,2.95183
100.00000,0.05000,3.00000,10.00000,0.00000,0.01114,0.00000,-282.27202,-285.17944,0.01030,116.00000,276.00000,3.47353
100.00000,0.05000,4.00000,10.00000,0.00000,0.01034,0.00000,-282.27202,-284.95401,0.00950,116.00000,172.00000,3.24883
100.00000,0.05000,5.00000,10.00000,0.00000,0.00924,0.00000,-282.27202,-284.64174,0.00840,116.00000,63.00000,1.96840
100.00000,0.05000,6.00000,10.00000,0.00000,0.00933,0.00000,-282.27202,-284.66804,0.00849,116.00000,24.00000,2.96444
