1433      0.024
1420 7      0.024       0.004 Assignment minsolar (0)
1418 6      0.028       0.004 Loop       
1418 8      0.030       0.004 Loop       
1502 4      0.059       0.021 Equation   Const_chance_1 (14400)
1418 10      0.027       0.004 Loop       
1417 9      0.236       0.004 Loop       
1548 3      0.249       0.021 Solve Fini schedule (127825)
1494 2      0.192       0.009 Equation   Objective (1)
1496 5      0.042       0.017 Equation   Const1 (13800)
1548 1      0.057       0.021 GAMS Fini   
