"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
600.00000,0.01000,1.00000,2.00000,0.00000,0.02659,0.00000,-247.71300,-248.48321,0.00311,1902.00000,3890.00000,1.36128
600.00000,0.01000,2.00000,2.00000,0.00000,0.02684,0.00000,-247.71300,-248.54321,0.00335,1902.00000,4528.00000,1.04628
600.00000,0.01000,3.00000,2.00000,0.00000,0.02671,0.00000,-247.71300,-248.51321,0.00323,1902.00000,4325.00000,1.39428
600.00000,0.01000,4.00000,2.00000,0.00000,0.02676,0.00000,-247.71300,-248.52321,0.00327,1902.00000,3977.00000,1.40420
600.00000,0.01000,5.00000,10.00000,0.00000,0.02684,0.00000,-247.71300,-248.54321,0.00335,1902.00000,1593.00000,0.01948
600.00000,0.01000,6.00000,6.00000,0.00000,0.02617,0.00000,-247.71300,-248.38114,0.00270,1902.00000,3572.00000,2.03271
