"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
300.00000,0.07000,1.00000,10.00000,0.00000,0.08051,0.01799,-285.30237,-307.12427,0.07649,2104.00000,567.00000,2.30341
300.00000,0.07000,2.00000,10.00000,0.00000,0.04610,0.01799,-285.30237,-297.34355,0.04220,2104.00000,2178.00000,0.91180
300.00000,0.07000,3.00000,10.00000,0.00000,0.08051,0.01799,-285.30237,-307.12427,0.07649,2104.00000,627.00000,2.35380
300.00000,0.07000,4.00000,10.00000,0.00000,0.08051,0.01799,-285.30237,-307.12427,0.07649,2104.00000,768.00000,1.93131
300.00000,0.07000,5.00000,10.00000,0.00000,0.04623,0.01799,-285.30237,-297.37940,0.04233,2104.00000,1093.00000,0.92103
300.00000,0.07000,6.00000,10.00000,0.00000,0.04922,0.01799,-285.30237,-298.23131,0.04532,2104.00000,973.00000,0.88927
