"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
600.00000,0.07000,1.00000,1.00000,0.00000,0.07894,0.15874,-245.82318,-270.24344,0.09934,2844.00000,2840.00000,0.00000
600.00000,0.07000,2.00000,1.00000,0.00000,0.07894,0.15874,-245.82318,-270.24344,0.09934,2844.00000,2842.00000,0.40764
600.00000,0.07000,3.00000,1.00000,0.00000,0.07894,0.15874,-245.82318,-270.24344,0.09934,2844.00000,2848.00000,0.22353
600.00000,0.07000,4.00000,1.00000,0.00000,0.07894,0.15874,-245.82318,-270.24344,0.09934,2844.00000,2853.00000,0.30103
600.00000,0.07000,5.00000,1.00000,0.00000,0.07894,0.15874,-245.82318,-270.24344,0.09934,2844.00000,2846.00000,0.26248
600.00000,0.07000,6.00000,1.00000,0.00000,0.07894,0.15874,-245.82318,-270.24344,0.09934,2844.00000,2843.00000,0.00000
