"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda","LB Heuristic"
600.00000,0.03000,1.00000,3.00000,0.00000,0.04661,0.06940,257.54199,261.56201,0.01537,4221.00000,2491.00000,8.85140,249.91245
600.00000,0.03000,2.00000,2.00000,0.00000,0.03831,0.06940,257.54199,259.48769,0.00750,4221.00000,4207.00000,0.20575,249.91245
600.00000,0.03000,3.00000,2.00000,0.00000,0.03940,0.06940,257.54199,259.75814,0.00853,4221.00000,4208.00000,0.41990,249.91245
600.00000,0.03000,4.00000,2.00000,0.00000,0.04128,0.06940,257.54199,260.22989,0.01033,4221.00000,4209.00000,0.47665,249.91245
600.00000,0.03000,5.00000,6.00000,0.00000,0.04661,0.06940,257.54199,261.56201,0.01537,4221.00000,2461.00000,0.02589,249.91245
600.00000,0.03000,6.00000,3.00000,0.00000,0.04661,0.06940,257.54199,261.56201,0.01537,4221.00000,4275.00000,0.00000,249.91245
