"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
900.00000,0.03000,1.00000,1.00000,0.00000,0.06457,0.00000,-240.66260,-255.80461,0.06292,1159.00000,2874.00000,0.13636
900.00000,0.03000,2.00000,1.00000,0.00000,0.06457,0.00000,-240.66260,-255.80461,0.06292,1159.00000,2873.00000,0.28261
900.00000,0.03000,3.00000,1.00000,0.00000,0.06457,0.00000,-240.66260,-255.80461,0.06292,1159.00000,2879.00000,0.25636
900.00000,0.03000,4.00000,1.00000,0.00000,0.06457,0.00000,-240.66260,-255.80461,0.06292,1159.00000,2878.00000,0.29636
900.00000,0.03000,5.00000,1.00000,0.00000,0.06457,0.00000,-240.66260,-255.80461,0.06292,1159.00000,2866.00000,0.00136
900.00000,0.03000,6.00000,1.00000,0.00000,0.06457,0.00000,-240.66260,-255.80461,0.06292,1159.00000,2865.00000,0.00000
