"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
600.00000,0.01000,1.00000,1.00000,0.00000,0.03600,0.00000,-250.80869,-251.50399,0.00277,2764.00000,2884.00000,1.22835
600.00000,0.01000,2.00000,1.00000,0.00000,0.03600,0.00000,-250.80869,-251.50399,0.00277,2764.00000,2866.00000,0.50835
600.00000,0.01000,3.00000,1.00000,0.00000,0.03600,0.00000,-250.80869,-251.50399,0.00277,2764.00000,2855.00000,1.24335
600.00000,0.01000,4.00000,1.00000,0.00000,0.03600,0.00000,-250.80869,-251.50399,0.00277,2764.00000,2864.00000,1.24835
600.00000,0.01000,5.00000,1.00000,0.00000,0.03600,0.00000,-250.80869,-251.50399,0.00277,2764.00000,2853.00000,0.00000
600.00000,0.01000,6.00000,1.00000,0.00000,0.03600,0.00000,-250.80869,-251.50399,0.00277,2764.00000,2841.00000,0.00000
