"Omega","Tolerance","Step Size Rule","Gap LR","Iterations","Converged?","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda"
300.00000,0.03000,1.00000,1.00000,1.00000,1.00000,-275.14885,0.00000,-1.00000,10.00000,0.00000,0.93856
300.00000,0.03000,2.00000,1.00000,1.00000,1.00000,-275.14885,0.00000,-1.00000,10.00000,0.00000,0.93856
300.00000,0.03000,3.00000,1.00000,1.00000,1.00000,-275.14885,0.00000,-1.00000,10.00000,0.00000,0.93856
300.00000,0.03000,4.00000,1.00000,1.00000,1.00000,-275.14885,0.00000,-1.00000,10.00000,0.00000,0.93856
300.00000,0.03000,5.00000,1.00000,1.00000,1.00000,-275.14885,0.00000,-1.00000,10.00000,0.00000,0.93856
300.00000,0.03000,6.00000,1.00000,1.00000,1.00000,-275.14885,0.00000,-1.00000,10.00000,0.00000,0.93856
